Date : 2020-05-01 10:36:18
Directory : c:\xampp\htdocs\SwissTech\frontend
Total : 170 files,  19135 codes, 402 comments, 929 blanks, all 20466 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\checkout.component.html                                           | HTML       |          8 |          3 |          5 |         16 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\checkout.component.spec.ts                                        | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\checkout.component.ts                                             | TypeScript |         11 |          0 |          5 |         16 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\contact-information\contact-information.component.css             | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\contact-information\contact-information.component.html            | HTML       |         18 |          3 |          7 |         28 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\contact-information\contact-information.component.spec.ts         | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\contact-information\contact-information.component.ts              | TypeScript |         22 |          0 |          7 |         29 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\payment-method\payment-method.component.css                       | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\payment-method\payment-method.component.html                      | HTML       |        121 |          6 |          4 |        131 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\payment-method\payment-method.component.spec.ts                   | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\payment-method\payment-method.component.ts                        | TypeScript |        107 |         14 |         36 |        157 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\review\review.component.css                                       | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\review\review.component.html                                      | HTML       |         45 |          3 |          2 |         50 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\review\review.component.spec.ts                                   | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\review\review.component.ts                                        | TypeScript |         54 |          6 |         12 |         72 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\filters\filters.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\filters\filters.component.html                                        | HTML       |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\filters\filters.component.spec.ts                                     | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\filters\filters.component.ts                                          | TypeScript |         28 |          0 |          9 |         37 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\home.component.css                                                    | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\home.component.html                                                   | HTML       |         39 |          3 |         10 |         52 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\home.component.spec.ts                                                | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\home.component.ts                                                     | TypeScript |         32 |          0 |         12 |         44 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-card\product-card.component.css                  | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-card\product-card.component.html                 | HTML       |         20 |          0 |          2 |         22 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-card\product-card.component.spec.ts              | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-card\product-card.component.ts                   | TypeScript |         13 |          0 |          5 |         18 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-list.component.css                               | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-list.component.html                              | HTML       |          1 |          1 |          2 |          4 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-list.component.spec.ts                           | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\home\product-list\product-list.component.ts                                | TypeScript |         17 |          0 |          8 |         25 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\footer\footer.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\footer\footer.component.html                                        | HTML       |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\footer\footer.component.spec.ts                                     | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\footer\footer.component.ts                                          | TypeScript |         11 |          0 |          5 |         16 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\header\header.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\header\header.component.html                                        | HTML       |         49 |          0 |          1 |         50 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\header\header.component.spec.ts                                     | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\layout\header\header.component.ts                                          | TypeScript |         51 |          0 |         20 |         71 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\login\login.component.css                                                  | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\login\login.component.html                                                 | HTML       |         24 |          0 |          0 |         24 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\login\login.component.spec.ts                                              | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\login\login.component.ts                                                   | TypeScript |         57 |          4 |         11 |         72 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-admins\manage-admins.component.css           | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-admins\manage-admins.component.html          | HTML       |         83 |          8 |          2 |         93 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-admins\manage-admins.component.spec.ts       | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-admins\manage-admins.component.ts            | TypeScript |         63 |          8 |         17 |         88 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-customers\manage-customers.component.css     | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-customers\manage-customers.component.html    | HTML       |        232 |          0 |          3 |        235 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-customers\manage-customers.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-customers\manage-customers.component.ts      | TypeScript |        185 |         14 |         25 |        224 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-orders\manage-orders.component.css           | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-orders\manage-orders.component.html          | HTML       |        108 |          9 |          6 |        123 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-orders\manage-orders.component.spec.ts       | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-orders\manage-orders.component.ts            | TypeScript |        104 |          0 |         27 |        131 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-products\manage-products.component.css       | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-products\manage-products.component.html      | HTML       |        222 |         14 |          1 |        237 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-products\manage-products.component.spec.ts   | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-products\manage-products.component.ts        | TypeScript |        222 |         17 |         57 |        296 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.css                         | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.html                        | HTML       |        281 |         18 |         12 |        311 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.spec.ts                     | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.ts                          | TypeScript |        243 |         20 |         26 |        289 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.css                               | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.html                              | HTML       |        104 |          4 |          2 |        110 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.spec.ts                           | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.ts                                | TypeScript |         82 |          2 |         18 |        102 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.css                                        | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.html                                       | HTML       |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.spec.ts                                    | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.ts                                         | TypeScript |         11 |          0 |          5 |         16 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\sidebar\sidebar.component.css                                   | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\sidebar\sidebar.component.html                                  | HTML       |         24 |          0 |          0 |         24 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\sidebar\sidebar.component.spec.ts                               | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\sidebar\sidebar.component.ts                                    | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\product-details\product-details.component.css                              | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\product-details\product-details.component.html                             | HTML       |         89 |          7 |         10 |        106 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\product-details\product-details.component.spec.ts                          | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\product-details\product-details.component.ts                               | TypeScript |        130 |         26 |         23 |        179 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\register\register.component.css                                            | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\register\register.component.html                                           | HTML       |        291 |         19 |         18 |        328 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\register\register.component.spec.ts                                        | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\register\register.component.ts                                             | TypeScript |        226 |         35 |         25 |        286 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\add-to-cart\add-to-cart.component.css                               | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\add-to-cart\add-to-cart.component.html                              | HTML       |         14 |          0 |          0 |         14 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\add-to-cart\add-to-cart.component.spec.ts                           | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\add-to-cart\add-to-cart.component.ts                                | TypeScript |         49 |          0 |         10 |         59 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\pagination\pagination.component.css                                 | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\pagination\pagination.component.html                                | HTML       |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\pagination\pagination.component.spec.ts                             | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shared\pagination\pagination.component.ts                                  | TypeScript |         11 |          0 |          5 |         16 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shopping-cart\shopping-cart.component.css                                  | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shopping-cart\shopping-cart.component.html                                 | HTML       |         57 |          0 |          2 |         59 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shopping-cart\shopping-cart.component.spec.ts                              | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\shopping-cart\shopping-cart.component.ts                                   | TypeScript |        107 |         19 |         26 |        152 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\CustomValidators.ts                                                           | TypeScript |         19 |          5 |          4 |         28 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\admin.guard.ts                                                                | TypeScript |         24 |          2 |          8 |         34 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\auth.guard.ts                                                                 | TypeScript |         18 |          2 |          4 |         24 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\error.interceptor.ts                                                          | TypeScript |         23 |          2 |          9 |         34 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\helpers\token.interceptor.ts                                                          | TypeScript |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\Manufacturer.ts                                                                | TypeScript |          4 |          0 |          0 |          4 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\categories.ts                                                                  | TypeScript |          6 |          0 |          0 |          6 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\comments.ts                                                                    | TypeScript |         10 |          0 |          0 |         10 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\creditcard.ts                                                                  | TypeScript |          8 |          0 |          0 |          8 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\customer.ts                                                                    | TypeScript |         22 |          0 |          0 |         22 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\order.ts                                                                       | TypeScript |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\paymentorder.ts                                                                | TypeScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\product.ts                                                                     | TypeScript |         17 |          0 |          1 |         18 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\shopping-cart.ts                                                               | TypeScript |          4 |          0 |          0 |          4 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\status.ts                                                                      | TypeScript |          4 |          0 |          0 |          4 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\models\user.ts                                                                        | TypeScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\services\alert.service.ts                                                             | TypeScript |         35 |          4 |          9 |         48 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\services\authentication.service.ts                                                    | TypeScript |         36 |          3 |         11 |         50 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\services\categories.service.ts                                                        | TypeScript |         18 |          0 |          5 |         23 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\services\comments.service.ts                                                          | TypeScript |         20 |          0 |          7 |         27 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\services\data.service.ts                                                              | TypeScript |         30 |          2 |          9 |         41 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\services\orders.service.ts                                                            | TypeScript |         43 |          0 |          9 |         52 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\services\product.service.ts                                                           | TypeScript |         45 |          0 |         14 |         59 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\services\user.service.ts                                                              | TypeScript |        109 |          0 |          7 |        116 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\add-cart.svg                                                          | XML        |         54 |          1 |          1 |         56 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\add.svg                                                               | XML        |         48 |          1 |          1 |         50 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\logout.svg                                                            | XML        |         50 |          1 |          1 |         52 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\minus.svg                                                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\remove.svg                                                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\shopping-cart.svg                                                     | XML        |         43 |          1 |          1 |         45 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\images\icons\user.svg                                                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\base\_reset.scss                                                              | SCSS       |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\base\_typo.scss                                                               | SCSS       |          6 |          0 |          0 |          6 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\component\card.scss                                                           | SCSS       |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\layout\_footer.scss                                                           | SCSS       |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\layout\_header.scss                                                           | SCSS       |         12 |          0 |          5 |         17 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\pages\_home.scss                                                              | SCSS       |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\pages\_login.scss                                                             | SCSS       |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\pages\_register.scss                                                          | SCSS       |         47 |          0 |          5 |         52 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\style.css                                                                     | CSS        |         28 |          1 |          8 |         37 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\style.scss                                                                    | SCSS       |         11 |          6 |          7 |         24 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\utilities\_mixins.scss                                                        | SCSS       |          5 |          1 |          0 |          6 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\utilities\_variables.scss                                                     | SCSS       |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\SwissTech\frontend\src\assets\scss\vendors\_boostrap.scss                                                        | SCSS       |          0 |          0 |          2 |          2 |
| c:\xampp\htdocs\SwissTech\frontend\src\environments\environment.prod.ts                                                          | TypeScript |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\SwissTech\frontend\src\environments\environment.ts                                                               | TypeScript |          4 |         11 |          3 |         18 |
| c:\xampp\htdocs\SwissTech\frontend\src\index.html                                                                                | HTML       |         23 |          1 |          7 |         31 |
| c:\xampp\htdocs\SwissTech\frontend\src\main.ts                                                                                   | TypeScript |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\SwissTech\frontend\src\polyfills.ts                                                                              | TypeScript |          1 |         55 |          8 |         64 |
